	2009.0417713901377
Andreas Ess	2009.0
Kaihua Zhu	2011.0
Anqi Wu	2013.5
Raja Rathnam Naidu Kanapaka	2015.0
Wan-Ting Liao	2014.0
Vaishali Kulkarni	2014.0
Cheolhwon Kim	2005.0
Zheng Ye	2011.5
Andranik Khachatryan	2015.0
Jimmy Ba	2014.5
Glen Brooksby	2005.6666666666667
Felix Juefei-Xu	2014.5
Alexander Norbash	2002.0
Jiangtao Xi	2012.0
Paolo Guagliardo	2015.0
Kyu-Young Whang	2004.25
Tetsuya Ishikawa	2001.0
Nina Taft	2007.0
Sung-Won Jung	2006.0
Xiaochuan Fan	2015.0
Hua Zhu	2000.0
Thomas B. Sebastian	2006.0
Robert W. Harrison	2011.5
Deqing Wang	2015.0
Slava Borodovsky	2011.0
Chiung-Yao Fang	2003.0
Bashir Al-Diri	2014.0
Karen Espana	2014.0
Liwei Wang	2010.75
Mihalis A. Nicolaou	2012.0
Daniel DeMenthon	2008.0
Yao Zhang	2012.75
Mohamed Farah	2007.0
Jilin Chen	2006.0
Philip M. Long	2006.75
Andreas Hartl	2010.5
Yann Chevaleyre	2013.0
David Guijarro	2000.5
Per Oberg	2013.0
Jesús S. Aguilar-Ruiz	2008.3333333333333
Hyung Lee-Kwang	2003.0
Nan-Chen Hsieh	2008.5
Stardas Pakalnis	2005.0
Massimo Melucci	2011.5
Ronald K. Pearson	2003.75
Robert Pless	2007.0833333333333
Vaida Jakoniene	2006.0
Sundar Vedula	2000.0
Arthur U. Asuncion	2010.0
Leonard McMillan	2005.888888888889
Dengxin Dai	2013.6
Jose R. Zamacona	2013.0
William E. Bishop	2014.0
Anne Denton	2006.5
A. Karasik	2010.0
John A. Zollweg	2015.0
Hongke Zhao	2014.0
Ana Lelescu	2009.5
Daniel Mahler	2010.0
Tanya Peters	2006.0
Si Liu 0001	2013.5
Takashi Matsuda	2001.5
Raphael Townshend	2013.0
Mafruz Zaman Ashrafi	2005.0
Prabuddha De	2002.0
Keze Wang	2013.0
Mohammed Yeasin	2005.25
Robert C. Williamson	2007.3181818181818
Christopher De Sa	2015.0
Antoine Gautier	2015.0
Richard L. Lewis	2011.75
Marta Castillo-Franco	2007.0
Hsiang-An Wang	2015.0
Galileo Namata	2006.5
Yingying Zhu	2012.6666666666667
Nobutoshi Yamazaki	2011.0
Bhaskar D. Rao	2006.125
Floriana Esposito	2006.25
Sean Gerrish	2010.8
Sathiya Keerthi Selvaraj	2012.0
Barbara Pernici	2009.0
Ioannis Tsochantaridis	2003.0
Subhabrata Bhattacharya	2012.5
Stéphane Lafon	2005.0
Weng-Keen Wong	2008.8
Antonis Sidiropoulos	2009.0
Ofri Rom	2014.0
M. Viti	2011.0
Artem Babenko	2013.6666666666667
Ertem Tuncel	2008.0
Suresh Chari	2012.0
Tru H. Cao	2009.5
Nima Asadi 0001	2011.0
Jianfei Cai	2012.6666666666667
Cheng-Wei Wu	2014.2857142857142
Ning Kang	2004.0
Yujun Zhou	2015.0
Ali Shojaie	2010.0
Ville T. Turunen	2007.0
Yuan-Kai Wang	2011.0
Hyeonjoon Moon	2008.0
Anil M. Cheriyadat	2009.0
Theodor Richardson	2004.0
Isvani Inocencio Frías Blanco	2015.0
Zhi Zhang	2007.3333333333333
Xiao Han	2005.3333333333333
Prithu Banerjee	2014.0
Malcolm R. K. Ryan	2001.0
Saeed Salem	2008.0
Kiarash Amiri	2011.0
Sabrina Chandrasekaran	2011.0
Jong-Ryul Lee	2014.5
Hamid R. Rabiee	2011.6
Robert Krovetz	2002.5
Johanna Tikanmäki	2001.0
Evangelia I. Zacharaki	2010.0
Yufeng Wang	2007.0
Oliver Williams	2006.2
Ayres C. Fan	2001.0
Vasileios Theodosiadis	2014.0
Lukas Kroc	2008.0
Wentao Zhao	2008.0
Bina Ramamurthy	2000.0
Ligang Liu	2010.0
Rana Aamir Raza	2015.0
Ifeoma Nwogu	2011.0
Yong Wang	2006.0
Maurizio Pilu	2002.0
Fumiyo Fukumoto	2000.0
Karthik S. Narayan	2015.0
Neil R. Smalheiser	2007.0
Alessandro Prest	2012.0
Ulas Yilmaz	2007.0
Huidong Jin	2007.090909090909
Andre Nash	2009.0
Felix von Hundelshausen	2012.0
Chun Chen	2010.095238095238
Hanzi Wang	2009.25
Tao A. Xiang	2015.0
Gilles Stoltz	2008.4444444444443
Ikkjin Ahn	2006.0
Constantin F. Aliferis	2003.5
Marcel Alcoverro	2011.0
Margaret Crofoot	2013.0
Sherri K. Harms	2001.0
Apostol Natsev	2005.25
Giuseppe De Nicolao	2005.0
Kieron O'Hara	2004.0
Yujie Shen	2013.0
Sidharth Bhatia	2004.0
Feng Lu	2014.0
Siddhartha Banerjee	2016.0
Paula Cecilia Fritzsche	2007.0
Dzung Hong	2011.5
Horia F. Pop	2009.0
Haibo He	2009.0
Dongqing Yang	2006.875
Colorado Reed	2013.0
Keiji Yamada	2010.0
Ramesh Nallapati	2006.25
Yong Tang	2008.0
Dimitrios Apostolopoulos	2000.0
Mrigank Rochan	2015.0
Yoichi Motomura	2010.0
Myle Ott	2011.0
Hongjun Jia	2009.5
Razvan Ranca	2013.0
Sonny Vaupel	2008.0
Gerhard Sagerer	2006.0
Wei Dai	2015.0
Fernando Pérez-Cruz	2007.2
Jilles Vreeken	2011.5555555555557
Asma Rejeb Sfar	2013.0
Svein Erik Bratsberg	2014.0
Pong C. Yuen	2009.5
Adrien Gaidon	2011.0
Regis Perrier	2010.0
Qiao Liu	2015.0
Alessio Benavoli	2014.5
Frederik Hogenboom	2014.0
Rose Marie Philip	2014.0
Jeffrey Dean	2012.5
Maneesh Bhand	2011.0
Karl-Friedrich Kraiss	2006.0
Akshay Krishnamurthy	2013.0
Amit Goyal 0002	2011.5
Aaron Crawford	2014.0
Mark A. Pitt	2004.0
Nahid Shahmehri	2006.0
