	2009.0417713901377
Ankineedu Maganti	2000.0
Bin Bi	2014.0
Su Zhang	2014.0
Alain Rakotomamonjy	2010.0
Gyemin Lee	2011.5
Chihli Hung	2003.0
Geoffrey T. Manley	2008.0
Vwani P. Roychowdhury	2006.0
Harris Drucker	2001.0
Philipp Tiefenbacher	2013.5
David Jeacocke	2010.0
Corrado Boscarino	2011.0
Alzennyr Da Silva	2010.0
William Bohrer	2003.0
Miriam Fernández	2006.5
Mauro Maggioni	2007.3333333333333
Michele Volpi	2015.0
Chapmann C. L. Lai	2010.0
Michael N. Shadlen	2012.0
Damien François	2007.0
Daniel K. Antwi	2012.0
Saroj K. Meher	2008.0
Alexander M. Bronstein	2011.625
Nicola Conci	2015.0
Damien Garreau	2014.0
Yi-Ju Chen	2009.0
Mehmet Ersin Yümer	2014.0
Haim Schweitzer	2011.0
Ming Zhang	2010.1666666666667
Javier Bernal	2015.0
Nianjun Liu	2007.0
Yoonho Hwang	2011.5
Haifeng Zhao	2012.0
Konstantin Mertsalov	2010.0
Salah Rifai	2011.75
Hideyuki Shibuki	2015.0
Shannon L. Risacher	2012.0
Shachi H. Kumar	2015.0
Greg Turk	2006.0
Yuval Aviel	2003.0
Jinghua Ge	2005.0
Stefano Soatto	2008.173076923077
Pablo Sala	2008.0
Eladio Domínguez	2014.0
Yuemeng Li	2014.5
Seyyed Mohammadreza Rahimi	2014.0
Cuicui Kang	2013.0
Divyakant Agrawal	2006.3333333333333
Daisuke Watanabe	2008.0
Haijun Wang	2007.0
Luis Gravano	2005.7142857142858
Paul Buitelaar	2012.0
Juan José Villanueva	2000.0
Emma Muñoz-Moreno	2008.0
Jun Xu	2012.75
Chaolun Xia	2012.5
Koichi Ito	2013.0
Zonghuan Wu	2002.5
Thierry Denoeux	2013.0
Guanbin Li	2015.0
Jim E. Smith	2006.0
Sangyeon Lee	2015.0
Aleksandra Slavkovic	2009.0
Scott Kuindersma	2010.0
Giuseppe Riccardi	2011.0
Hongbo Xie	2003.0
Ziv Bar-Yossef	2007.0
Michael Plavinski	2010.0
Dan Zhang II	2004.0
Luca Pireddu	2004.0
Tang Enya Kong	2008.0
Ana Freire	2013.6666666666667
Eran Segal	2002.3333333333333
Evangelos E. Kotsifakos	2009.0
Youngdae Kim	2009.0
Iasonas Oikonomidis	2012.0
John Illingworth	2006.5
Athanasios N. Nikolakopoulos	2013.0
Jufu Feng	2007.75
Vladimir Zadorozhny	2013.0
Gianluigi Greco	2005.5
Dinh Quoc Phung	2013.0
Yandong Liu	2009.4285714285713
Angel Conde	2014.0
Yuhong Xiong	2010.857142857143
Richard C. Wang	2008.3333333333333
Raia Hadsell	2007.3333333333333
Alexandros Ntoulas	2010.0
Iván Cantador	2011.6666666666667
K. P. Subbalakshmi	2015.0
Myles Doolan	2012.0
Min Wang	2012.5
Qiuhua Kuang	2014.0
Yung Chang	2009.5
Josip Krapac	2010.0
Brian Amento	2000.0
Edmond A. Jonckheere	2014.0
Giorgos Poulis	2013.0
Danyel Fisher	2000.0
Peter Lofgren	2016.0
Ron Loui	2007.0
Jason Luciow	2003.0
Shaohua Teng	2014.0
Cristian Levcovici	2000.0
Li-min Liu	2002.0
Wenchao Zhou	2010.0
Kuan-Wen Chen	2008.0
Francesco Ranzato	2009.0
Quanzhong Li	2004.0
Antonio Alfredo Ferreira Loureiro	2013.0
Peter B. Reich	2012.0
Norihito Yasuda	2014.0
Fang Chu	2004.3333333333333
Wei Lai	2006.3333333333333
Kaushik Patnaik	2014.0
José Ramón Quevedo	2004.0
Norifumi Nishikawa	2015.0
Masao Sakauchi	2001.0
Tatsuya Akutsu	2007.75
Linjie Luo	2012.5
Sylvain Chevallier	2010.0
Jaihie Kim	2008.3333333333333
Liang Lin	2012.2666666666667
Mohammad Reza Kangavari	2007.5
Fang-Wu Yao	2009.0
Pierre Hellier	2000.0
Joseph Johnson	2009.0
Cong Zhao	2011.0
Zicheng Liao	2012.8
Avinash C. Kak	2011.0
Tao Sun	2014.0
Michael Riis Andersen	2014.0
Ganesan Shankaranarayanan	2007.0
Ping Li 0001	2010.4583333333333
Samy Bengio	2006.9375
Antoine Doucet	2010.3
Bryan Poling	2014.0
Eric Eilertson	2006.0
Srivatsan Narayanan	2013.0
Tomomasa Gotoh	2004.0
Alex Delis	2001.0
Ilya Kozlov	2014.0
Jim Wielaard	2005.0
Qi Zhou	2015.0
Quanshi Zhang	2013.6666666666667
Krishna Bharat	2002.0
Halid Ziya Yerebakan	2014.0
Kristin P. Bennett	2003.125
Ayça Azgin Hintoglu	2005.0
Concetto Spampinato	2014.0
Celine Vens	2011.0
Anil Armagan	2014.0
Simon Bourigault	2015.0
Le Ma	2008.0
Tong Xu	2013.6666666666667
Ashraf Bah	2015.0
Simon DeDeo	2014.0
S. Hussain Raza	2013.0
Alessandro Panconesi	2010.5
Giuseppe Serra	2014.0
Yin Zheng	2014.0
Xiaoshuai Sun	2011.6666666666667
Enrico Simonotto	2006.0
Ioannis Katakis	2014.0
Xin Huang	2012.0
Elisa Bertino	2007.2307692307693
Frederick H. Lochovsky	2007.6666666666667
Yannan Zhao	2007.0
François Lauze	2012.0
Erik G. Miller	2001.5
Takanobu Nakahara	2009.5
Rachel Mislovaty	2004.0
Nikolaos Bellas	2006.0
Aggelos K. Katsaggelos	2011.0
Dongyi Guan	2013.0
Qingxiang Wu	2006.5
Jade P. Vinson	2006.0
Michael I. Miller	2005.5
Clifford Kotnik	2003.0
Matthew Flagg	2004.5
Naoki Asada	2010.0
Xi Zhang	2015.0
Stephen M. Pizer	2007.25
Xianglong Liu	2013.0
Behjat Siddiquie	2010.5
Lian-xi Wang	2011.0
Weizhong Zhu	2008.0
Manoj Seshadrinathan	2008.0
Xianghua Ding	2015.0
Antonio Liotta	2014.0
Raymond J. Carroll	2012.0
Peerachet Porkaew	2009.0
Mingchun Wang	2012.0
Wei Wang 0038	2008.0
Xin Zhang	2012.6666666666667
Ferit Akova	2009.6666666666667
Samir Al-Stouhi	2014.0
Yue Shi	2012.0
Sudhir Raman	2009.0
Jonathan T. Barron	2013.0
Aly S. Abdelrahim	2013.0
Tie-Yan Liu	2008.921052631579
Mario Vento	2001.0
Chaoyi Pang	2013.0
Sadiye Guler	2008.0
Martin Doerr	2007.0
Vincent C. S. Lee	2008.0
James H. Horne	2010.0
Yuelei Xie	2011.0
Ragini Choudhury	2001.0
Jianying Zhou	2007.6666666666667
Sebastian Tschiatschek	2013.5
Sharlee Climer	2004.0
Liang Shi	2014.5
Mohammadreza Mostajabi	2015.0
Yuxun Zhou	2015.0
Alphan Altinok	2006.0
Meenakshi Mishra	2012.5
Pascale Kuntz	2001.0
Antonia Kyriakopoulou	2007.0
Shirong Li	2010.5
Chuang Gan	2015.0
Roberto Amato	2004.0
Pierre Sermanet	2012.6666666666667
Behzad Golshan	2013.5
Jacques Savoy	2012.5
Hans Ulrich Simon	2015.0
Xufei Wang	2010.5
Kaimin Jin	2007.0
Rita Z. Goldstein	2006.3333333333333
Jean-Francis Roy	2011.0
Olivier Pietquin	2014.2
Bobby Geary	2010.0
Joachim M. Buhmann	2007.148148148148
Daniel Rueckert	2011.0
Linchao Bao	2014.0
Tapas Kanungo	2010.0
Pavan Kumar Mallapragada	2010.0
Jeroen S. de Bruin	2006.0
Maxime Lhuillier	2005.875
Myong Kee Jeong	2006.0
Sylvain Prima	2008.0
Mingyi He	2013.5
Tianhao Wu	2003.0
Jang-Hee Yoo	2015.0
Yang Xu	2009.0
Laura Petrini	2015.0
Alex Cozzi	2003.0
Takahiro Hayashi	2009.0
Mingzhou (Joe) Song	2008.0
Antonio Artés-Rodríguez	2000.0
Yan-Hui Li	2012.0
Ken Chiang	2013.0
Lei Yuan	2012.0
Michael Mozer	2005.8
Justin Sahs	2014.0
Ricardo Cartaxo Modesto de Souza	2005.0
Zheng Cao	2012.0
Blaz Fortuna	2008.0
N. Edenborough	2005.0
Jean-Yves Bouguet	2000.0
Shahab Kamali	2013.0
João Santos	2014.0
Budhaditya Saha	2011.5
Martino Ruggiero	2013.0
Maram Hasanain	2014.0
Jiacong He	2013.0
Christopher Middendorff	2007.0
Otthein Herzog	2007.0
Tim Juchcinski	2010.0
Boris Katz	2006.0
Kah-Guan Au Eong	2001.0
Nicoleta Roman	2003.0
Parul A. Mittal	2003.0
Chenyong Hu	2004.0
Linguang Zhang	2015.0
Yuancheng Tu	2009.0
Ali Ziat	2015.0
Katerine Díaz-Chito	2010.0
Xue Wang	2013.0
Felix Bießmann	2010.3333333333333
Niki Pissinou	2001.0
Eemil Lagerspetz	2008.0
Harshal Patil	2010.0
Perry Groot	2007.0
Geoffrey I. Webb	2008.5185185185185
Adam Bermingham	2009.0
Fabrizio Silvestri	2009.0
Jake V. Bouvrie	2010.5
Jean-Marc Boucher	2011.0
Miika Toivanen	2009.0
Ronald Marsh	2010.0
Katya Scheinberg	2005.5
Moray Allan	2007.0
L. Jack Reese	2000.0
Zheng-Tao Yu	2014.0
Akegapon Tangverapong	2009.0
Luis Tari	2012.0
Wen-Sheng Chu	2014.3333333333333
Zhengyou Zhang	2006.75
Gilles Laurent	2002.0
Michael A. Goodrich	2005.3333333333333
Florian Obeloer	2015.0
Catalin Ionescu	2014.0
Ahmed Hassan Awadallah	2013.6363636363637
Alexander Brodsky	2000.0
João Mendes-Moreira	2009.0
Lorenza Saitta	2003.0
Justus H. Piater	2004.857142857143
Kiran Garimella	2016.0
Mushfiqur Rouf	2012.0
Ankur Narang	2012.0
Maoqiang Xie	2011.0
David McNeill	2000.0
Jesse Read	2012.0
Madori Ikeda	2014.0
Hai Tao	2004.375
Julie Digne	2012.0
Junwu Du	2010.0
Raymond Lau	2003.0
Bikash Agrawal	2015.0
Jun Wang 0006	2010.5
Michael Barnathan	2010.0
Ransen Niu	2015.0
Michael Reale	2010.5
Shin Matsushima	2011.0
Samuel Rönnqvist	2013.0
Todor Georgiev	2012.0
David H. Stern	2007.0
Martin Aastrup Olsen	2013.0
Hazem Hajj	2010.0
Lin Lan	2014.0
Orhan Camoglu	2010.0
Chunlan Huang	2014.0
Elena Tutubalina	2016.0
Nilanjan Dasgupta	2005.0
Volodya Vovk	2004.6666666666667
Anita Valmarska	2015.0
Zhenyu Liu	2001.0
Zhongxuan Luo	2015.0
Byung Ro Moon	2007.0
Lawrence L. Wald	2009.0
Xiangji Huang	2007.111111111111
Yanghua Xiao	2014.0
Donghui Yan	2008.0
Baiyang Liu	2011.0
Jason Tsong-Li Wang	2004.5
Andrew Moldenke	2009.0
Giovanna Melideo	2003.0
Juan Manuel Pérez	2008.0
Nicholas J. Bryan	2011.5
Bhaskar Mitra	2014.5
Guangyuan Wu	2004.0
Yuping Shen	2008.0
Mauricio Pamplona Segundo	2014.0
Christophe Lenglet	2007.5
John W. Roberts	2008.0
Yunus Emre Kara	2012.0
Shuichi Iwata	2008.0
Chunhong Zhang	2013.6666666666667
Rémi Ronfard	2009.5
Arcangelo Merla	2004.5
Cuiping Li	2008.0
Zhenglu Yang	2008.0
Yicong Tian	2014.0
In-Ho Kang	2003.0
Qinfeng Guo	2006.0
Sang-Kyoon Hong	2007.0
Rajagopal Venugopal	2003.0
Alexis Bondu	2008.0
Dan He	2011.142857142857
Sikandar Amin	2013.0
Derek L. Eager	2001.0
Ming Wu	2006.0
Gong Cheng	2015.0
Langis Gagnon	2010.0
Dennis Lucarelli	2003.0
Xiguo Ma	2013.5
Christoph Mangold	2002.0
Charles Lee Isbell Jr.	2007.0
Christina Lioma	2011.5714285714287
Mihai Datcu	2008.0
Pranjul Yadav	2014.0
Pranam Janney	2011.0
Martin Raubal	2012.0
Dan Frankowski	2006.0
Dan C. Ciresan	2012.0
Vladimir Ouzienko	2011.0
Linus Svärm	2014.0
Daniyar Turmukhambetov	2015.0
Chuii Khim Chong	2013.0
Drew Steedly	2010.5
Michael Ng	2012.0
Huawu Deng	2003.0
Nasser M. Nasrabadi	2011.0
AnHai Doan	2004.5
Jan Hendrik Hosang	2015.0
Gerhard Friedrich	2007.6666666666667
Przemyslaw Glowacki	2013.0
Shaohan Hu	2010.0
Wenjie Li	2009.8
Mihir Jain	2014.0
Isao Yamada	2013.5
Jiang Yun	2006.0
Naouel Baili	2011.0
Renato Martins Assunção	2015.0
Pornthep Rojanavasu	2009.0
Shai Dekel	2013.0
Samet Oymak	2014.5
Tina Eliassi-Rad	2011.0714285714287
Feng Huang	2004.0
Philip E. Miller	2010.0
Oran Richman	2015.0
Sierra K. Hampton	2003.0
Eric C. Jensen	2004.5555555555557
D. Moore	2011.0
Alex Po Leung	2007.5
Pierre-Nicolas Mougel	2012.0
M. José Ramírez-Quintana	2009.5
Faris Alqadah	2010.3333333333333
Cherry Zhang	2011.0
Nello Cristianini	2001.2727272727273
Chengqi Zhang	2010.2777777777778
Kevin Streib	2011.0
Jee-Eun Jang	2013.0
Xiaopeng Zhang 0001	2010.5
Jian-Kang Wu	2001.0
H. Brendan McMahan	2009.5384615384614
Constantinos Panagiotakopoulos	2010.0
Massimo Filippi	2006.0
Ish Rishabh	2010.0
Aditya Tayal	2015.0
Djamel Bouchaffra	2010.0
Fathi H. Saad	2006.0
Yuanyuan Liu	2013.25
Mark Barnard	2010.0
Patrice Fleury	2003.0
Michal Drozdzal	2010.0
Zhigang Zhu	2007.9333333333334
Jeon-Hyung Kang	2012.0
Xiaolong Li	2009.0
Daniel Cohen-Or	2009.0
Luo Si	2009.5
Nitin Singhal	2010.0
Alok Ladsariya	2003.0
Charles Dugas	2004.25
Javier Alonso-Mora	2013.0
Junqiang Liu	2007.8
Jonathan D. Becher	2002.0
Jian Zhong Qian	2001.0
Wayne B. Hayes	2012.0
J. A. Beintema	2001.0
Dongjin Song	2015.0
Andrea Villanes	2013.0
Denny	2007.2
Hoang-Hiep Vu	2009.5
Philippe Pucheral	2008.0
Michael Calonder	2010.0
Zhenguang Liu	2014.0
Scott Julian	2014.0
Md. Altaf-Ul-Amin	2010.0
Viktor Larsson	2015.0
Aditi Majumder	2008.4285714285713
Hari Sundar	2010.0
Danqi Chen	2012.0
Robert Schreiber	2008.0
Yanguang Yu	2012.0
Álvaro Joaquin Parra Bustos	2014.0
Partha Basuchowdhuri	2012.0
Sang-Hong Lee	2009.0
Kian-Lee Tan	2007.5652173913043
Lavanya Sharan	2010.0
Manghui Tu	2006.0
Arnaud Giacometti	2014.0
Piotr Dollár	2010.7142857142858
Salman Shahid	2015.0
Besma R. Abidi	2006.0
Chris Sweeney	2015.0
Wei Zhang 0002	2005.0
Sundararajan Sellamanickam	2012.0
Chandrajit L. Bajaj	2007.0
Virginia Smith	2014.0
Qing Gu	2011.5
Der-Jyh Duh	2014.0
Jean-Pierre Martens	2010.0
Sacha Baginsky	2004.0
Surajit Chaudhuri	2004.5555555555557
Myung Jin Choi	2009.5
Aída Jiménez	2011.0
Min Zhang	2008.0
Theoni Pitoura	2012.0
Bolin Ding	2009.0
Mohamed Nabeel	2013.6666666666667
Mohamed Kafsi	2015.0
Chuan Sun	2014.0
Bernhard X. Kausler	2013.0
Michael Chau	2006.75
Sudeep Sundaram	2009.0
Günther Gediga	2002.0
Rui Qi Yu	2011.0
Nisarg Shah 0001	2014.0
Casey Laris	2003.0
Ranjith Unnikrishnan	2006.5
Aglika Gyaourova	2010.0
Long Ma	2012.0
Abed Malti	2014.0
David J. Brady	2014.0
Anja Dieckmann	2004.0
David P. Capel	2003.5
Yang Huang	2007.0
Iddo Drori	2003.0
Tomokazu Wakasugi	2007.0
Aditya Kumar Sehgal	2005.0
Paul Munteanu	2001.0
Luiza Antonie	2014.0
Mario Vacca	2007.0
Valentin Jijkoun	2010.0
Noam Tractinsky	2013.0
Carlos Rojas Coronel	2003.0
Thomas Ploetz	2013.0
Pak Chung Sham	2006.0
Vibhuti S. Sengar	2008.0
Guillermo C. Gaunaurd	2008.0
Jung-Eun Lee	2008.0
Ioannis P. Vlahavas	2004.6666666666667
Olexandra Beznosova	2005.0
Ray Juang	2007.0
David A. de Waal	2007.0
Chen Qian	2014.0
Qifeng Qiao	2009.0
Jie Ni	2012.5
Leon Barrett	2008.0
Vignesh T. Ravi	2010.0
Robert Wetzker	2010.0
De Wang	2015.0
Juan Carlos Niebles	2012.142857142857
Qian Sun	2011.0
Augustin Lux	2010.0
Clarence A. Ellis	2007.0
Haoji Hu	2015.0
Ping-Jung Wu	2008.0
Tobias Baumgartner	2013.0
Scott Imig	2011.0
Erika Vilches	2007.0
Gao Jie	2007.0
Hui Cheng	2010.7142857142858
Kenny Q. Zhu	2015.0
Joseph E. Lucas	2015.0
Ahsan Habib	2005.0
Uwe Nagel	2015.0
Daniel Delling	2011.5
Yu Zhang 0004	2014.0
Koichi Tanaka	2000.0
John Yiannis	2002.0
Andreas Krause	2011.4333333333334
Brian Eoff	2011.0
Hila Dvir	2006.0
Changbo Zhu	2014.0
Bruno Mirbach	2011.0
Jing Wang	2009.3333333333333
Jason Weston	2006.2333333333333
Scott Yang	2014.0
Cícero Nogueira dos Santos	2014.0
Qiang Qu	2015.0
Frank Hopfgartner	2012.857142857143
Weiguo Zheng	2015.0
Filip Radlinski	2011.095238095238
Zohar Barzelay	2007.0
Xiuli Ma	2010.5
Walon Wei-Chen Chiu	2013.0
Ehud Kalai	2006.0
Arun Bahalla	2001.0
Benjamin Snyder	2010.0
Shanika Karunasekera	2012.5
Shahram Ghandeharizadeh	2004.6666666666667
Chris J. Maddison	2013.6666666666667
Suryani Lukman	2013.0
Bin He	2009.75
Fernando Mendes	2013.0
Juan Manuel Sáez	2005.0
Ian Horrocks	2007.0
Yun Yang	2011.0
Pavel Senin	2013.5
Jef Wijsen	2001.0
Amin Sayedi	2010.0
David Knossow	2008.0
Xiwu Gu	2014.0
John Lui	2014.0
Wei Tang	2006.3333333333333
Francesc J. Ferri	2010.0
Hedvig Kjellström	2011.0
Kurt J. P. Espinosa	2015.0
Changwen Yang	2002.0
Bin Tong	2012.75
Yong Xia	2015.0
Lijuan Cai	2003.0
Li-Yan Yuan	2001.0
Yoav Y. Schechner	2006.0625
Vilém Vychodil	2011.0
George Wolberg	2005.75
Frédéric Lerasle	2003.0
Alex Brown	2015.0
Yimo Tao	2011.0
Ioannis Arapakis	2010.6666666666667
Christos Mitatakis	2015.0
Xiaoping Miao	2008.0
Bou-Ho Yang	2005.0
Stefano Corazza	2007.0
Minghong Lin	2013.0
Kripa Shanker	2008.0
Akihiko Torii	2010.8
Yen-Chieh Huang	2012.0
Yen-Jen Oyang	2002.0
N. Ozay	2009.0
Chieh-Ming Wu	2002.0
Michael J. Berry II	2002.0
Ibrahim Khalil	2016.0
Souptik Datta	2006.0
Venkatesh Ganti	2008.0
Erica Cooper	2009.0
S. Muthukrishnan	2005.5714285714287
Chenliang Li	2013.0
Ramona Bunea	2012.0
Ahmed Abbasi	2010.0
Ke Zhu	2016.0
Tuan D. Pham	2010.0
Antonio M. López	2011.2857142857142
Shlomo Berkovsky	2014.0
Zhaohui Wang	2007.0
Thomas Bonald	2013.0
Uwe Aickelin	2014.0
Ping Ma	2014.0
Barbara Zenger	2000.0
Le Gruenwald	2006.3333333333333
Jeremy Pickens	2006.25
Matthew Miller	2001.0
David Keeler	2011.0
Yu Ji	2013.5
Anders Jonsson	2002.5
Tai-Peng Tian	2010.0
Masao Shimizu	2008.6666666666667
Scott W. Linderman	2014.0
Ilya Desyatnikov	2003.0
Patrick Blair	2004.0
Jie Wang	2011.8333333333333
Zhexue Huang	2000.0
Mayank Bansal	2010.0
Andre F. Marquand	2011.0
Chaosheng Fan	2013.0
Rajhans Samdani	2013.0
Weichen Zhang	2014.0
Ben Glocker	2010.7142857142858
Raúl Pérez	2015.0
Martin A. Riedmiller	2009.3333333333333
William R. Carson	2012.0
Michael Horrell	2012.0
Dawei Yin	2013.625
Sajib Dasgupta	2010.0
Manfred Mayerhofer	2014.0
Francesco Caltagirone	2013.0
Christopher R. Cox	2013.0
Javed A. Aslam	2007.4814814814815
Dimitrios Markonis	2014.0
Jacob Goldberger	2007.3333333333333
J. S. Park	2000.0
Ka Cheung Sia	2007.0
Kiyana Zolfaghar	2014.0
Feng Jing	2006.3333333333333
Anders Sullivan	2008.0
Alan Kwan	2010.0
Massimiliano Albanese	2013.5
Nicholas C. Makris	2004.0
Tomasz Adamek	2010.0
Zhaojin Lu	2014.0
Aurélien Garivier	2012.0
Wenbing Tao	2014.0
Amar Shah	2015.0
Sridevi Parise	2004.5
Frederic Garcia	2011.0
Ralitsa Angelova	2006.0
Susan Lomax	2012.0
Hua Shi	2006.0
Chang-Hwan Lee	2011.0
Yong Ho Kim	2007.0
Asim Karim	2012.0
Andreas Kolb	2010.3333333333333
Ümit Y. Ogras	2004.0
Karthik Kalyanaraman	2013.0
Shinsuke Shimogawa	2008.0
Wenyuan Dai	2008.0
Jixue Liu	2012.6666666666667
Becca Coates	2015.0
Nadav Eiron	2001.0
Hsiu-yen Tsai	2004.0
Laurence Tianruo Yang	2011.0
Peter H. Tu	2007.4285714285713
Elchanan Rushinek	2005.0
Mohamed Riadh Trad	2012.0
Kien A. Hua	2005.4
Haobin Li	2006.0
Justin Driemeyer	2006.0
John Kalaska	2004.5
Yaping Li	2012.0
José R. Paramá	2005.0
David J. Hand	2004.3333333333333
Nguyen Quoc Viet Hung	2013.6666666666667
Hye-Kyeong Ko	2010.0
Thomas E. Slowe	2007.0
Bei Yu	2003.0
Yangsheng Wang	2006.3333333333333
Wei Chen	2012.5
Ruby L. Kennedy	2013.0
Oriane Matte-Tailliez	2004.0
Mark A. Bedau	2012.0
Michael Ovelgönne	2010.0
Martin Hahmann	2010.0
Jianjun Paul Tian	2005.0
Ajay P. Adsul	2014.0
Simeon Warner	2004.5
Andrej Mikulík	2011.0
Andres Muñoz Medina	2014.0
Jishi Qu	2014.0
Ehsan Nazerfard	2010.0
Ping Yu	2005.0
Hassan Chafi	2011.0
Ayan Chakrabarti	2011.0
Warren Davis	2015.0
Remigius Wojdanowski	2012.0
Jens Gregor	2004.0
Mohammad Noshad	2015.0
R. Bharat Rao	2005.9
Ling-Yin Wei	2009.0
Dieter Fox	2008.4545454545455
Allen Lavoie	2014.0
Haohong Wang	2015.0
Erik Ask	2013.0
K. E. Gates	2005.0
Mahdokht Masaeli	2010.0
Joseph P. Zurkus	2003.0
Sophia G. Petridou	2008.0
Kazuho Watanabe	2009.5
Jong-Hoon Oh	2004.0
Yi-Fan Wang	2003.0
Imran Saleemi	2012.3333333333333
Ning Zhu	2013.0
Zhongyi Hu	2014.0
Troy Raeder	2011.6666666666667
Gowri Somanath	2009.0
Imed Zitouni	2014.4
Ilario Marchio	2014.0
Xiaolu Lu	2015.0
Qian-Yi Zhou	2012.6666666666667
Bruno A. Olshausen	2006.0
Hoi Chan	2007.0
Rawad Abou Assi	2010.0
Ameet Soni	2014.0
Jui Hsi Fu	2011.0
John Case	2005.2857142857142
Xiaohua Liu	2011.0
David Maxwell Chickering	2001.5
Maria Stone	2014.0
Taiyong Li	2012.0
Donn Morrison	2013.5
Dimitrios Pierrakos	2010.0
Bruno D. Abrahao	2014.0
Michael E. Sorensen	2000.0
Pedro A. Ortega	2012.0
Bas Rokers	2001.0
Masayuki Tanaka	2007.75
Venkata M. V. Gunturi	2014.5
Jianxin Liu	2007.0
Kashif Javed	2012.0
Fabrizio Lecci	2015.0
Jorge Sánchez	2010.3333333333333
Chongjie Zhang	2014.0
John E. Bayouth	2011.0
Furong Huang	2014.0
James A. Bagnell	2009.0
S. Sundararajan	2011.3333333333333
Daniele Calandriello	2013.5
Bo Jin	2014.5
Jiaqian Yu	2015.0
Zhijun Zhang	2010.0
Zhan Wei Lim	2011.0
John Mather	2014.0
Gianluca Demartini	2010.3333333333333
Srikanta J. Bedathur	2009.8
Vladimir Coric	2014.0
Qifeng Chen	2013.0
Yufei Zhang	2000.0
Yeohoon Yoon	2007.0
Nan Zhang 0004	2011.5714285714287
Huan-Kai Peng	2012.0
Phil Vines	2004.0
Erion Plaku	2007.0
Sylvie Ranwez	2012.0
Chih-Chun Chia	2010.5
Keigo Yoshida	2008.0
Martin Pichl	2015.0
Nageswara S. V. Rao	2003.0
Dirk Ahlers	2015.0
Neil A. Clark	2006.0
Junte Zhang	2010.0
Girish K. Palshikar	2013.0
Julien Ah-Pine	2010.0
Gloria Chatzopoulou	2010.0
Xiaoying Gao	2007.0
Lance Riedel	2007.5
Yen-Liang Chen	2007.0
Caleb Chen Cao	2015.0
Francisco Ocegueda-Hernandez	2013.0
Chong Wu	2015.0
Qiang Ding	2002.0
Hubert Konik	2012.0
Alex Aiken	2007.0
Gregory Vert	2003.0
Igor V. Cadez	2001.0
Jana Schmidt	2010.75
Lingling Zhang	2009.0
Patrick Stacey	2016.0
Andrea Edwards	2014.0
Joshua M. Susskind	2011.0
Erik Saule	2013.0
Michel de Mathelin	2003.0
Stephen Muggleton	2000.0
Thibaut Horel	2015.0
Francesca Toni	2015.0
Weiran Xu	2009.0
Balaji Krishnapuram	2006.1666666666667
Muyun Yang	2010.0
Takamasa Takenaka	2009.0
Raja Bala	2014.0
Peter Ciccolo	2008.0
Guoliang Li	2011.8823529411766
Min-Che Yu	2015.0
George Toderici	2009.3333333333333
Nick G. Duffield	2015.0
Isabelle Herlin	2000.0
Hamdi Yahyaoui	2005.0
Igor Tatarinov	2004.0
Greg Horwitz	2011.0
Thomas Laurent 0001	2012.5
Niket Tandon	2014.5
Yangpai Liu	2012.0
Mateusz Malinowski	2014.0
Jenny Yuen	2010.0
Spiridon Bakiras	2009.0
Michael Brady	2006.0
Said Benameur	2001.0
Nan Niu	2003.0
Nakul Verma	2010.0
Gang Chen	2014.888888888889
Eunji Lee	2013.0
Benjamin D. Haeffele	2014.0
Oswald Barral	2014.0
Yongle Lü	2007.0
Ying-Ju Chen	2008.0
Muna Al-Razgan	2006.0
Andrea Ceroni	2014.5
Nikos Karampatziakis	2013.0
Kitty K. Lo	2013.0
Florian Lemmerich	2011.0
Christian Sengstock	2012.0
Robin Braun	2013.0
Jun Sato	2012.0
Edward P. F. Chan	2003.0
Raphael Hauser	2006.0
Ayush Parashar	2011.0
Guangxia Li	2011.5
Guangli Nie	2009.0
Chris Gatenby	2009.0
Haili Chui	2000.5
Jordan Rodu	2012.0
Jefersson Alex dos Santos	2015.0
Ouais Alsharif	2014.0
Li Shang	2010.0
Stephen Lee Hansen	2003.0
Iris Adä	2011.0
XiuXia Tian	2015.0
S. Mukherjee	2007.0
Ding-An Chiang	2009.0
Neeraja J. Yadwadkar	2015.0
Ching-Hui Chen	2015.0
Weifeng Zhi	2013.0
Saulo M. R. Ricci	2011.5
Yuan Xue	2014.0
Alberto H. F. Laender	2009.0
John Y. Lin	2001.0
Xiang Wang 0002	2009.0
Suk Hwan Lim	2009.0
Shariq Bashir	2009.0
John R. Spletzer	2001.0
Chad Williams	2005.0
Liu Huanzhu	2007.0
Tengyuan Liang	2015.0
Harold Litt	2010.0
Jan Prins	2005.25
Jian Liu	2005.5
Julien Mille	2009.0
Guido Sanguinetti	2009.4
Ronnie Bathoorn	2006.0
Ya-ti Peng	2012.0
Elizabeth D. Liddy	2003.0
Yujie Zhang	2009.0
Tao Luo 0008	2002.0
F. Li	2001.0
Qi Duan	2014.0
Antonino Staiano	2004.0
Padmanabhan Soundararajan	2001.0
Jyoti Rani Yadav	2014.0
Dongdong Shan	2012.0
Jan Lovie-Kitchin	2006.0
Peter Battaglino	2011.0
Jianhong Wu	2006.0
Michael D. Colagrosso	2002.0
Tony Belpaeme	2015.0
Hesamoddin Salehian	2014.0
Shaobing Gao	2013.0
Masashi Nishiyama	2009.0
Arno Onken	2008.5
Katherine Ellis	2016.0
Aleksander Wawer	2012.75
Daihee Park	2006.0
Olivier D. Faugeras	2003.4285714285713
Ron Bekkerman	2006.25
